Słowo angielskie,Tłumaczenie
show,pokazać
shower,prysznic
shower,prysznic (czynność)
sing,śpiewać
sister,siostra
sit down,usiąść
six,sześć
sixteen,szesnaście
skirt,spódnica
sleep,spać
slim,szczupły
slow,"wolny, powolny"
small,mały
smoke,palić
smoking,palenie
snow,śnieg
some,"trochę, kilka; niektórzy, niektóre"
something,coś
sometimes,"czasami, czasem"
son,syn
soup,zupa
speak,"mówić, rozmawiać, przemawiać"
sport,sport
start,zacząć; rozpocząć się
station,stacja
stay,zostać
stop,przystanek
stop,przestać
street,ulica
student,"student, uczeń"
study,"studiować, uczyć się"
subject,przedmiot
subway,metro (AmE)
sugar,cukier
summer,lato
sun,słońce
Sunday,niedziela
supermarket,supermarket
sweet,słodki
swim,pływać
swimming pool,basen
T-shirt,podkoszulek
table,stół
take,brać
talk,rozmawiać
tall,wysoki
taxi,taksówka
tea,herbata
teach,uczyć (kogoś)
teacher,nauczycielka/nauczyciel
teeth,zęby
television,telewizor
television,telewizja
tell,"powiedzieć, opowiedzieć"
ten,dziesięć
tennis,tenis
test,"test, sprawdzian"
than,"niż, od"
thank you,dziękuję
thanks,dzięki
that,"ten, tamten"
the,przedimek określony
the radio,radio (audycje)
the same,ten sam
the same,taki sam
their,ich
them,"ich, je"
then,potem; wtedy
there,tam
these,"te, ci"
they,"oni, one"
thing,rzecz
think,"uważać, sądzić"
think,myśleć
thirteen,trzynaście
thirty,trzydzieści
this,ten
those,"tamte, tamci"
three,trzy
Thursday,czwartek
ticket,bilet
time,czas
tired,zmęczony
to,do
today,dzisiaj
today,"dziś, dzisiaj (dzień)"
together,razem
toilet,toaleta
tomato,pomidor
tomato juice,sok pomidorowy
tomorrow,"jutro, dzień jutrzejszy"
tomorrow,jutro
too,"zbyt, za bardzo"
too,"też, także, również"
tooth,ząb
town,"miasteczko, miejscowość"
train,pociąg
travel,podróżować
tree,drzewo
trousers,spodnie
Tuesday,wtorek
TV,telewizor (skrót)
TV,telewizja (skrót)
twelve,dwanaście
twenty,dwadzieścia
two,dwa
under,pod
understand,rozumieć
university,uniwersytet
until,"aż (do), do; dopóki nie"
up,"do pionu, w pionie"
us,"nas, nam, nami"
use,"używać, korzystać z"
vacation,wakacje (AmE)
vegetable,warzywo
very,bardzo
village,"wieś, wioska"
visit,zwiedzać
visit,odwiedzać
wait,czekać
waiter,kelner
waitress,kelnerka
wake,"budzić, budzić się"
wake up,budzić się
walk,"spacerować, chodzić"
wall,ściana
want,chcieć
warm,ciepły
wash,myć
wash,myć się
watch,zegarek
watch,"oglądać (film, TV)"
watch,"oglądać, obserwować"
water,woda
water,woda
we,my
wear,"nosić (ubranie), mieć na sobie; założyć"
weather,pogoda
website,strona internetowa
Wednesday,środa
week,tydzień
weekend,weekend
well,dobrze
well,zdrowy
what,co
when,kiedy
where,gdzie
white,biały
who,kto
why,dlaczego
wife,żona
wind,wiatr
window,okno
wine,wino
winter,zima
with,z
woman,kobieta
word,słowo
work,praca
work,pracować
world,świat
write,pisać
writing,pisanie
wrong,"zły, błędny"
yellow,żółty
yes,tak
yesterday,wczoraj
you,"ty, wy, ciebie, was, tobą, wami, tobie, was; tobie, wam"
young,młody
your,"twój, wasz; swój; pani, pana"
zoo,zoo
front,przód
in front of,przed; naprzeciwko
jacket,"żakiet, marynarka; kurtka"
spring,wiosna
through,"przez, z jednej strony na drugą"
wet,mokry
