Słowo angielskie,Tłumaczenie
bloody,"zakrwawiony, krwawy"
blueberry,jagoda
blush,"rumienić się, zaczerwienić się ze wstydu, oblewać pąsem"
board,deska (do krojenia)
board,wyżywienie
boast,chwalić się
bodyguard,ochroniarz osobisty
boiling,"upalny, strasznie gorący"
bold,"śmiały, zuchwały; bezczelny"
boldly,"śmiało, zuchwale; bezczelnie"
bombing,bombardowanie
bond,więź
bonus,premia
booklet,"broszurka, broszura"
bookmark,dodać do zakładek
bookmark,zakładka
boost,"poprawić, pobudzić, podreperować, zwiększyć"
boost,"zastrzyk (energii, gotówki)"
bossy,apodyktyczny
bother,"martwić, dręczyć"
bothered,"zmartwiony, zatroskany"
bow,kokardka
bowling,gra w kręgle
bra,biustonosz
bracket,nawias
branch,dziedzina
brand,marka
bravery,odwaga
breadcrumbs,"bułka tarta, okruszki chleba"
breakable,"łatwo tłukący się, kruchy"
breakdown,załamanie (nerwowe)
breakdown,awaria
breakthrough,przełom
breathing,"oddychanie, oddech"
breathtaking,zapierający dech w piersiach
breed,rasa
breed,hodować zwierzęta
brick,cegła
bridesmaid,druhna
briefcase,"aktówka, teczka"
briefs,"majtki, figi, slipy"
bright,"bystry, inteligentny"
brightly,"jasno, jaskrawo, żywo"
brilliantly,"genialnie, świetnie"
broadband,"łącze szerokopasmowe, szerokie pasmo"
broadcast,"program, audycja, transmisja"
broadcast,"nadawać, emitować"
brother-in-law,szwagier
browse,przeglądać (strony w internecie)
browser,przeglądarka
bruise,siniak
budget,budżet
budget,"tani, na każdą kieszeń"
bulb,żarówka
bullet,"kula, pocisk"
bump,uderzyć (się)
bumper,zderzak
burglar,włamywacz
burglary,włamanie
burgle,włamać się
burial,pochówek
burn-out,"wyczerpanie, wypalenie"
burning,"palący, piekący"
burst,"wpaść, wypaść (z impetem), wtargnąć"
bury,zakopać
bush,"krzew, krzak"
cable,kabel
calculate,"kalkulować, obliczać"
calculation,"kalkulacja, obliczenie"
calmly,spokojnie
campus,miasteczko uniwersyteckie; kampus
candidate,"kandydat (na stanowisko, pozycję)"
canned,"w puszce, puszkowany"
capable,"zdolny, kompetentny, sprawny"
capacity,"zdolność, możliwości umysłowe"
capacity,"pojemność, ładowność, nośność"
captain,kapitan
capture,"pojmać, chwytać"
capture,uchwycić (np. moment)
carbon,węgiel
cardboard,karton
cardigan,sweter zapinany
care,opieka
carelessly,"niedbale, nieuważnie, niestarannie, przez nieuwagę"
carelessness,"niedbalstwo, niestaranność, nieostrożność"
caring,"troskliwy, opiekuńczy"
carnival,"karnawał, zabawa"
carrier,przewoźnik
carry,"być nosicielem, przenosić"
carry,"przewozić, przenosić, transportować"
cart,wózek sklepowy (AmE)
case,"sprawa, incydent"
cashier,"kasjerka, kasjer"
cast,obsada
casually,"swobodnie, nieformalnie, zwyczajnie (o ubiorze)"
catalogue,katalog
catch,przyłapać
category,kategoria
catering,"catering, zaopatrzenie"
cauliflower,kalafior
cause,"powód, przyczyna"
cause,powodować
cautious,ostrożny
cease,"przerwać, przestać; skończyć się"
cell,komórka (organizmu)
cell,cela
cellar,piwnica
cello,wiolonczela
cemetery,cmentarz
centigrade,"stopni Celsjusza, w skali Celsjusza"
certainty,pewność
chairman,"przewodniczący, prezes"
challenge,kwestionować
channel,kanał
chaos,chaos
characteristic,cecha charakterystyczna
charge,ładować
charge,"przypuścić atak, napierać"
charger,ładowarka
charm,"urok, czar"
chart,wykres
chase,gonić
cheat,"oszukiwać, ściągać"
cheeky,"bezczelny, impertynencki, zawadiacki, zuchwały, śmiały"
cheer,wiwatować
cheerfully,radośnie
chemical,"środek chemiczny, substancja chemiczna"
chemical,chemiczny
cherry,wiśnia
chest,klatka piersiowa
chew,"żuć, przeżuwać"
chick,"pisklę, kurczątko"
chief,"dowódca, wódz, szefowa, szef"
chief,główny
childish,dziecinny
chimney,komin
chip,czip
choir,chór
chop,"siekać, krajać; rąbać"
circle,"grupa, krąg, grono"
circle,"okrążać, krążyć"
circular,okrągły
circumstances,okoliczności
citizen,"obywatel, mieszkaniec"
citizenship,obywatelstwo
civilization,cywilizacja
claim,twierdzić
claim,twierdzenie
claim,roszczenie
claim,"domagać się, dochodzić, rościć prawo do czegoś"
classic,"klasyka, utwór klasyczny, klasyczne dzieło"
classic,klasyczny
clause,zdanie składowe
clay,glina
client,klient
clip,"klamra, zacisk, spinka, klips"
closely,"blisko, ściśle; dokładnie, bardzo"
cloth,"ścierka, ściereczka, szmatka"
clothing,"odzież, ubrania"
clue,"wskazówka, podpowiedź, trop, poszlaka"
clumsy,niezdarny
coach,"trenować, szkolić"
coaching,"szkolenie, nauczanie, coaching"
coastal,"przybrzeżny, nadmorski"
code,"kod, szyfr, alfabet"
coffin,trumna
coincidence,zbieg okoliczności
coldly,"ozięble, chłodno"
collapse,zasłabnąć; upaść
collapse,upaść; zawalić się
collar,obroża
collection,"zbiórka, kwesta"
collector,"kolekcjoner, zbieracz"
collocation,kolokacja
colon,dwukropek
colony,kolonia
column,kolumna
combination,"połączenie, mieszanka, kombinacja"
combine,"łączyć, mieszać"
comedian,"komik, artystka komediowa"
comfort,wygoda
command,znajomość (np. języka)
comment,komentować
commentary,komentarz
commerce,handel
commercial,"komercyjny, handlowy"
commercial,reklama
commission,komisja
commit,"popełnić (samobójstwo, zbrodnię, itp.)"
commitment,zobowiązanie
committee,"komitet, komisja"
communicative,komunikatywny
community,społeczność
companion,towarzysz
company,towarzystwo
comparison,porównanie
competition,konkurencja
competitive,"lubiący współzawodnictwo, ambitny"
competitive,konkurencyjny
competitive,"oparty na rywalizacji, współzawodnictwie"
complex,"złożony, skomplikowany"
compose,komponować
composer,"kompozytor, kompozytorka"
composition,"kompozycja, utwór"
compromise,kompromis
compromise,iść na kompromis
compulsory,obowiązkowy
conceited,zarozumiały
concentration,"koncentracja, skupienie"
concept,"pojęcie, koncepcja, idea"
concern,"troska, obawa"
concern,dotyczyć
concerned,"zatroskany, zmartwiony"
concerning,"w sprawie, odnośnie"
concrete,beton
condition,choroba
conduct,"przeprowadzić (testy, itp.)"
conduct,"dyrygować, prowadzić orkiestrę"
conductor,"dyrygent, dyrygentka"
cone,stożek
confess,"przyznać się, wyznać, wyspowiadać się"
confession,"wyznanie, przyznanie się; spowiedź"
confidence,"ufność, wiara, pewność"
confident,"przekonany, pewny"
confidently,pewnie
confirmation,potwierdzenie
conflict,"konflikt, spór"
confuse,"zagmatwać, zamącić w głowie, zdezorientować, wprawić w zakłopotanie"
confusion,zamieszanie
congratulate,gratulować
conjunction,spójnik
connected,"podłączony, połączony"
connection,połączenie
consciousness,przytomność
consequence,konsekwencja
consequently,"w rezultacie, co za tym idzie, w konsekwencji"
conservation,"pielęgnowanie, ochrona, zachowanie"
conservative,konserwatywny
considerable,znaczny
considerably,znacznie
consideration,"rozwaga, namysł"
constant,"ciągły, stały"
constantly,"ciągle, stale"
construct,"konstruować, budować"
construction,"konstrukcja, budowla"
consultant,"konsultant, konsultantka"
consume,"konsumować, spożywać, zjadać, wypijać"
consumer,"odbiorca, konsument"
container,pojemnik
contemporary,współczesny
content,treść
content,zadowolony
context,kontekst
continuous,"ciągły, nieprzerwany"
continuously,"ciągle, stale, bez przerwy"
contrast,"kontrast, różnica"
contribute,"wnosić wkład, przyczyniać się"
contribution,"wkład, udział"
control,"kontrola, nadzór"
control,"opanować, ograniczyć, kontrolować"
controversial,kontrowersyjny
convenience,"wygoda, dogodność"
conveniently,"dogodnie, na korzystnych warunkach"
conventional,konwencjonalny
convert,"przerabiać, przekształcać, konwertować, zaadaptować"
convinced,przekonany
cool,"ochłodzić, schłodzić (się)"
cooperate,współpracować
cooperation,współpraca
cooperative,"chętny do współpracy, pomocy"
cope,radzić sobie
copper,miedź
copy,egzemplarz
copy,"kopiować, przepisywać, ściągać, zgapiać (na egzaminie itp.)"
copywriter,"copywriter, copywriterka"
corkscrew,korkociąg
corporation,korporacja
correct,"poprawić, skorygować"
correction,poprawka
correspond,"pokrywać się, zgadzać się"
correspond,"korespondować, wymieniać listy"
corridor,korytarz
costume,"kostium, przebranie"
council,"rada, kolegium"
counter,lada
county,hrabstwo
courage,odwaga
courier,kurier
course,"pole (golfowe), tor (wyścigów konnych)"
court,sąd
courtesy,uprzejmość
cover,"przebyć, pokonać (odległość)"
coward,tchórz
cowardly,"strachliwy, tchórzliwy"
crab,krab
crack,pęknąć; potrzaskać się
crack,"pęknięcie, rysa"
crack,"rozbić, stłuc, rozłupać, spowodować pęknięcie"
craft,rzemiosło
crash,"zawiesić się, paść, zepsuć się"
crawl,"czołgać się, pełzać"
creation,"utworzenie, tworzenie; dzieło, kreacja"
creatively,kreatywnie
creativity,kreatywność
credit,"wpłacić (na konto), zwiększyć stan konta"
credit,uznanie
criminal,"kryminalny, przestępczy"
crisis,kryzys
critic,"krytyk, recenzent, recenzentka"
critically,krytycznie
criticise,krytykować
criticism,krytyka
crocodile,krokodyl
croissant,"rogalik, croissant"
croquette,krokiet
crossroads,skrzyżowanie
crossword,krzyżówka
crow,wrona
crucial,"kluczowy, istotny, niezbędny"
cruelly,okrutnie
cruelty,okrucieństwo
cruise,"lecieć, płynąć"
crusty,chrupiący
cry,"okrzyk, krzyk"
crystal,kryształ
cube,sześcian
cuckoo,kukułka
cuff,mankiet
cuisine,kuchnia
culturally,kulturowo
cure,lek
curiosity,ciekawość
current,"aktualny, obecny, bieżący"
currently,"aktualnie, obecnie"
cursor,kursor
curve,"krzywa, łuk, krągłość, wygięcie, zakręt"
curved,"zaokrąglony, zakrzywiony"
cut,"zredukować, obniżyć, ograniczyć"
cut,"cięcie, redukcja"
cycle,cykl
dairy,"mleczny, mleczarski, nabiałowy"
daisy,stokrotka
damp,"wilgotny, mokry"
dare,"odważyć się, ośmielić się"
dare,"prowokować, wyzwać, rzucić wyzwanie"
darkness,ciemność
darling,"kochanie; ulubieniec, ulubienica"
dash,pędzić
dashboard,deska rozdzielcza
data,dane
database,baza danych
daughter-in-law,synowa
dawn,świt
daylight,światło dzienne
daytime,"dzień, pora dzienna"
deadline,ostateczny termin
deadly,"zabójczy, śmiercionośny, śmiertelny"
deal,"umowa, układ, interes"
dealer,"handlarz, sprzedawca, dealer"
dean,dziekan
dear,"kochany, drogi, bliski"
dear,"kochanie, skarb"
debate,debata
debit,"potrącić (z konta), obciążyć konto"
debit,"debet, wypłata"
debt,dług
decade,"dekada, dziesięciolecie"
decay,"rozkładać się, gnić, próchnieć, psuć się, niszczeć"
deceive,oszukać
decent,"przyzwoity, porządny"
decisive,"zdecydowany, stanowczy"
deck,pokład
deckchair,leżak
declare,"deklarować, oświadczać"
decline,"zmniejszyć się, obniżyć się, pogorszyć się"
decline,"odmówić, odrzucić (prośbę, ofertę, itp.)"
decline,"spadek, obniżenie, pogorszenie"
decoration,"dekoracja, ozdoba"
decoration,"malowanie, urządzanie, tapetowanie, dekorowanie"
decorative,"ozdobny, dekoracyjny"
deeply,"głęboko, bardzo, mocno, ogromnie"
deer,jeleń
defeat,"upadek, klęska"
defeat,"udaremnić, zniweczyć"
defence,obrona (argumenty)
defender,obrońca
define,"definiować, określić znaczenie"
definite,"ostateczny, konkretny, określony, dokładny, zdecydowany"
definition,definicja
deliberate,"zamierzony, celowy"
deliberately,"celowo, umyślnie"
delicate,"kruchy, delikatny"
delicate,"delikatny, subtelny"
delight,"zachwyt, rozkosz, radość, wielka przyjemność"
delightful,"rozkoszny, wspaniały, zachwycający"
demand,popyt
demanding,wymagający
democracy,demokracja
democratic,demokratyczny
demolish,"niszczyć, burzyć"
demonstrate,"brać udział w demonstracji, demonstrować, manifestować"
demonstrate,"wykazać, dowieść słuszności"
demonstration,demonstracja
denim,dżins
dense,gęsty
densely,gęsto
dental,"dentystyczny, stomatologiczny"
deny,"odmówić, odrzucić"
deny,zaprzeczać
deodorant,dezodorant
dependent,"zależny, niesamodzielny, uzależniony"
depressing,przygnębiający
depression,depresja
deprive,pozbawić
depth,głębokość
descend,"zstępować, schodzić"
designer,"pochodzący od znanego projektanta, designerski, markowy"
desirable,"pociągający, atrakcyjny"
desire,"pragnienie, pożądanie"
desktop,pulpit
desktop,komputer stancjonarny
despair,rozpacz
desperate,zdesperowany
desperate,"rozpaczliwy, rozpaczliwie potrzebujący"
desperately,"rozpaczliwie, desperacko"
destruction,"destrukcja, zniszczenie"
detailed,szczegółowy
determination,determinacja
determined,zdeterminowany
determiner,określnik
develop,"nabawić się (choroby, problemu), rozwinąć"
developed,rozwinięty
developing,rozwijający się
development,"zmiana, rozwój sytuacji"
device,urządzenie
devil,diabeł
devote,poświęcić (coś komuś)
devoted,"oddany, poświęcony"
dialogue,dialog
diameter,średnica
diamond,diament
differ,różnić się
dilemma,dylemat
diligent,"pilny, staranny, sumienny"
dimension,wymiar
dip,"maczać, zanurzać"
dip,"zniżyć, obniżać (się), spadać"
diplomat,dyplomata
disability,niepełnosprawność
disagreement,"różnica zdań, konflikt, spór"
disappearance,zniknięcie
disapprove,"wyrazić dezaprobatę, nie pochwalać, potępiać"
disaster,"katastrofa, klęska"
discipline,dyscyplina
discount,obniżyć cenę
discourage,"zniechęcić, zrazić, odwieść"
discovery,odkrycie
disgrace,"hańba, kompromitacja, wstyd"
disguise,przebrać się (za kogoś)
disguise,przebranie
dishonest,nieuczciwy
dishonesty,nieuczciwość
dislike,niechęć
disorganized,"niezorganizowany, chaotyczny"
display,wyświetlić
disposal,"usunięcie, likwidacja, wywóz, pozbywanie się"
disrupt,zakłócić
dissatisfaction,niezadowolenie
dissatisfied,niezadowolony
distinction,"rozróżnienie, różnica"
distinguish,"rozpoznać, wychwycić, wyłapać, wyłowić (wzrokiem)"
distinguish,rozróżniać
distinguished,"wybitny, ceniony, uznany"
distract,"rozpraszać, odwracać uwagę"
distressing,"bolesny, przykry, smutny, przygnębiający"
distribute,"rozprowadzać, rozsyłać, rozpowszechniać, puszczać w obieg, kolportować"
disturb,"przeszkadzać, zakłócać, niepokoić"
dive,"skok do wody, zanurzenie"
diverse,różnorodny
divided,podzielony
division,"oddział, wydział"
division,podział
divorce,rozwieść (się)
dizzy,"odczuwający zawroty głowy, cierpiący na zawroty głowy"
domestic,domowy
domestic,"wewnętrzny, krajowy"
dominate,dominować
donate,"ofiarować, przekazać, składać datki"
donation,"datek, darowizna, dawstwo"
dose,dawka
double,"podwoić (się), zwiększyć (się) dwukrotnie"
double-decker,autobus piętrowy
doubt,wątpić
doubtful,"wątpiący, pełen wątpliwości"
down,"przygnębiony, zdołowany, przybity"
downpour,ulewa
draft,"projekt, szkic, brudnopis, wersja robocza"
drag,"ciągnąć, wlec"
dramatic,dramatyczny
dramatically,"drastycznie, radykalnie"
draw,przyciągać (np. uwagę)
dreadful,"potworny, przerażający, wzbudzający strach"
driveway,podjazd
drop,"obniżyć się, spaść"
drop,"porzucić, zaprzestać"
drug,narkotyk
drug,"lekarstwo, lek"
drunk,pijany
dual,podwójny
dust,ścierać kurze
dynamic,"dynamiczny, energiczny"
eager,"chętny, zapalony"
eagerly,"chętnie, z zapałem"
eagerly,"z niecierpliwością, niecierpliwie"
eagerness,"niecierpliwość, podniecenie, podekscytowanie; zapał, entuzjazm"
eagle,orzeł
earnings,zarobki
earthquake,trzęsienie ziemi
ease,łatwość
ecological,ekologiczny
ecologically,ekologicznie
economic,"gospodarczy, ekonomiczny"
economical,"ekonomiczny, oszczędny"
economist,"ekonomistka, ekonomista"
economy,gospodarka
edit,"edytować, montować, redagować"
edition,wydanie
editor,"wydawca, redaktor"
educate,"edukować, kształcić"
educate,"informować, uświadamiać"
educated,wykształcony
educational,"edukacyjny, oświatowy"
effective,skuteczny
effectively,skutecznie
efficiency,wydajność
egg,jajo
elect,wybierać
electrician,elektryk
electronically,elektronicznie
electronics,elektronika
elegant,elegancki
elegantly,elegancko
element,pierwiastek
elsewhere,gdzie indziej
embarrassment,"zażenowanie, zawstydzenie"
emerge,"wyłonić się, ukazać się, pojawić się"
emotion,"emocja, uczucie"
emotional,"uczuciowy, emocjonalny; poruszony"
emotionally,"emocjonalnie, uczuciowo"
emphasis,"uwaga, nacisk"
emphasize,"podkreślać, eksponować, uwypuklać"
empty,"opróżnić; wylać, wysypać, wyrzucić"
enable,umożliwić
enclose,"załączyć (do listu, dokumentu, itp.)"
encounter,"napotkać, natknąć się na"
encounter,spotkanie
encouragement,"zachęta, otucha, wsparcie"
encouraging,"zachęcający, ośmielający, dodający otuchy, wspierający"
endangered,zagrożony
endless,"nieskończony, niewyczerpany, bezkresny, nieograniczony"
endure,"znosić, cierpieć"
energetic,"pełen energii, energiczny"
engagement,zaręczyny
enjoyment,"radość, zadowolenie"
enquire,"zapytać, dopytywać się, dowiadywać się"
ensure,"dopilnować, zapewnić, upewnić się"
entertainer,"artysta estradowy, artystka estradowa"
entertaining,"zabawny, zajmujący, przyjemny, rozrywkowy"
enthusiasm,entuzjazm
enthusiastic,entuzjastyczny
enthusiastically,entuzjastycznie
entire,"cały, całkowity"
entirely,całkowicie
entitle,"upoważnić, uprawnić"
environmentally,"środowiskowo, dla środowiska"
envy,zazdrość
envy,zazdrościć
episode,odcinek
equal,"partner, ktoś równy sobie"
equality,równość
equip,wyposażyć
era,"era, epoka"
erase,"wymazać, usunąć"
error,błąd
escalator,schody ruchome
essentially,zasadniczo
establish,"założyć (firmę, itp.), ustanowić"
estate,posiadłość
estimate,"szacunek, kosztorys, wycena"
estimate,szacować
estimated,"szacowany, przewidywany"
eventually,w końcu
evident,oczywisty
evidently,"bez wątpienia, ewidentnie"
evil,zło
evil,"zły, nikczemny"
evolution,ewolucja
examination,badanie
examine,"badać, analizować"
exception,wyjątek
exceptional,wyjątkowy
exchange,wymienić
exchange,wymienić (np. walutę)
exclusive,ekskluzywny
exhausting,wyczerpujący
exhaustion,przemęczenie; wyczerpanie
existence,istnienie; egzystencja
existing,"istniejący, obecny"
exotic,egzotyczny
expand,"powiększać (się), rozszerzać (się)"
expansion,"wzrost, ekspansja, rozwój"
expectation,"oczekiwanie, przewidywanie"
expense,"wydatek, koszt"
experiment,"eksperymentować, przeprowadzać doświadczenia"
expert,"ekspercki, biegły"
exploit,"eksploatować, nadużywać, wyzyskiwać"
explosion,"wybuch, eksplozja"
export,eksportować
export,eksport
expose,"wystawić na działanie czegoś, eksponować, narażać"
express,wyrazić
expression,wyraz twarzy
extend,"rozciągać, rozszerzać, powiększać, przedłużyć"
extension,"rozbudowa, dobudówka"
extension,numer wewnętrzny
extensive,"rozległy, obszerny"
extent,"zasięg, stopień"
external,zewnętrzny
extract,"fragment, wypis"
extract,"wydobywać, wyciągać; usuwać, wyrywać"
extraordinarily,nadzwyczajnie
eyebrow,brew
eyelash,rzęsa
eyelid,powieka
eyesight,wzrok
face,"przyjąć do wiadomości, pogodzić się z"
face,"stawić czoło, zmierzyć się, stanąć wobec"
facility,"obiekt, zakład; udogodnienie, urządzenie"
factor,czynnik
fade,"płowieć, blaknąć; znikać, gasnąć, cichnąć, zanikać"
fail,"ponieść porażkę, nie udać się"
failure,"porażka, niepowodzenie"
failure,"awaria, uszkodzenie"
faint,"słaby, lekki, nikły"
faint,zemdleć
faintly,"lekko, słabo"
faith,wiara
faithful,"wierny, oddany"
faithfully,"wiernie, lojalnie"
fame,sława
fantastically,"fantastycznie, niesamowicie"
fantasy,"fantazja, kaprys, zachcianka, marzenie"
far,"daleki, odległy"
farm,"uprawiać rolę, hodować"
fascinated,zafascynowany
fascinating,fascynujący
fat,tłuszcz
fatal,śmiertelny
fate,"los, przeznaczenie"
father-in-law,teść
faulty,wadliwy
favourable,"przychylny, życzliwy, pochlebny"
fear,"bać się, lękać się, obawiać się"
feather,pióro
feature,"cecha szczególna, rys twarzy"
feature,"prezentować, przedstawiać"
feedback,"reakcja, opinia"
feel,"dotykać, macać"
fellow,współ-
female,kobieta
fence,płot
field,"pole, dziedzina"
fierce,"zajadły, zacięty, zażarty, dziki, srogi"
fighting,"walki, działania bojowe"
figure,postać
finance,"finanse, fundusze"
finance,finansować
financially,finansowo
fine,"nałożyć karę pieniężną, dać mandat"
finely,"drobno, cienko"
fingernail,paznokieć (palca u dłoni)
fire,"strzelić, odpalić, zapalić"
fire,"wyrzucić z pracy, wylać"
firmly,"stanowczo, mocno"
firstly,po pierwsze
fisherman,"wędkarz, rybak"
fit,"zamontować, zainstalować"
fix,ustalić (np. datę spotkania)
fixed,"stały, ustalony"
flame,płomień
flammable,łatwopalny
flash,błyskać
flash,"rozbłysk, błysk (światła)"
flash,"lampa błyskowa, flesz"
flat,"płasko, równo"
flea,pchła
flexibility,elastyczność (zdolność dostosowania się)
flexibility,"gibkość, elastyczność"
flexible,elastyczny
