Słowo angielskie,Tłumaczenie
attempt,"próbować, usiłować"
attend,"uczęszczać, uczestniczyć"
attention,uwaga
attitude,"postawa, stosunek, nastawienie"
attract,"przyciągać, zainteresować"
audience,"widownia, widzowie, publiczność"
author,"autorka, autor"
average,"średni, przeciętny"
average,średnia
awake,budzić (się)
awake,obudzony
away,"na bok, w inne miejsce"
awful,okropny
awfully,"strasznie, bardzo"
babysit,"opiekować się dzieckiem, pilnować dziecka"
babysitter,opiekunka do dziecka
back,"do tyłu, wstecz"
back,tylny
backache,"ból krzyża, ból pleców"
background,"środowisko, pochodzenie; wykształcenie"
backpack,plecak
backpacker,turysta (podróżujący z plecakiem)
backpacking,"podróżowanie, wędrówka z plecakiem"
backwards,"wstecz, do tyłu"
backyard,podwórko za domem
bacon,bekon
baggage,bagaż
bagpipes,dudy
baguette,bagietka
baker,piekarz
balcony,balkon
bald,łysy
ballet,balet
bandage,bandaż
bank,brzeg (rzeki)
bank account,"rachunek bankowy, konto"
bar,"tabliczka, sztabka, kostka"
barbecue,"grillować, piec na grillu"
barber,fryzjer męski; golibroda
bargain,okazja
barman,barman
basic,"prosty, podstawowy"
basin,umywalka
basket,koszyk
bat,nietoperz
bath plug,"zatyczka na odpływ, korek do wanny"
battle,"walczyć, zmagać się"
battle,"bitwa, walka"
bay,zatoka
beat,bić (o sercu)
beat,"pobić, pokonać"
beautifully,pięknie
beauty,piękno; uroda
bed and breakfast,nocleg ze śniadaniem; zakwaterowanie ze śniadaniem
bedside table,stolik nocny
bee,pszczoła
beef,wołowina
before,przed
behave,zachowywać się
behaviour,zachowanie
behind,"w tyle, z tyłu"
beige,beżowy
bell,dzwonek
belly,brzuch
belong,należeć
below,poniżej
benefit,"korzyść, pożytek"
benefit,"zasiłek, świadczenie, renta"
besides,poza tym
besides,"poza, oprócz"
best,najlepiej
between,"pomiędzy, między nimi, w środku, w środek"
beverage,napój
beyond,"za, dalej niż"
beyond,"ponad, więcej"
beyond,"dłużej niż, więcej niż, później niż, poza"
beyond,dalej
bike,jeździć rowerem
bin,"kosz na śmieci, śmietnik"
biography,biografia
birth,"poród, narodziny"
bite,gryźć
bitter,gorzki
blame,wina
blame,"winić, obwiniać"
blank,"pusty, niewypełniony, niezapisany, czysty"
bleed,krwawić
blind,niewidomy
block,blok
blog,"blogować, pisać na blogu, prowadzić blog"
blog,blog
blogger,"blogerka, bloger"
blouse,bluzka
blow,dmuchać
blow,wiać
board,"wejść na pokład, wsiąść do"
boarding pass,karta pokładowa
bomb,bombardować
bomb,bomba
bone,kość
booking,rezerwacja
boot,bagażnik
border,granica
bother,"kłopot, zmartwienie"
bottom,dno
bottom,"tyłek, pupa, pośladki"
bounce,odbić (się)
boxing,boks
bracelet,bransoletka
brake,hamulec
brake,hamować (pojazd)
branch,"oddział, filia"
branch,gałąź
brand new,"nowiutki, fabrycznie nowy"
brave,"odważny, śmiały, dzielny"
bravely,"odważnie, śmiało, dzielnie"
break,"zrobić przerwę, przerwać"
break up,"zerwać z kimś, rozejść się; rozpaść się"
breast,pierś
breath,oddech
breathe,oddychać
breeze,"wietrzyk, lekki wiatr"
bride,panna młoda
brief,"krótki, zwięzły"
briefly,"na krótko, na chwilę, przez chwilę"
briefly,"pokrótce, zwięźle"
bright,"jasny, pełen światła, słoneczny; ostry, mocny"
brilliant,"genialny, błyskotliwy"
bring up,wychowywać
broad,szeroki
broccoli,brokuł
brochure,broszura
broth,rosół
bucket,wiadro
bug,robak; pluskwa
builder,"budowniczy, pracownik budowlany"
bull,byk
bunch,"pęk, bukiet, kiść"
burn,"spalić, przypalić"
burn,"oparzyć (się), poparzyć (się)"
burn,"palić (się), płonąć"
burning,"palący się, płonący"
burst into tears,wybuchnąć płaczem
bury,"pochować, pogrzebać"
business,biznes (branża)
butcher,"rzeźnik, masarz, sprzedawca mięsa"
butterfly,motyl
button,przycisk
button,guzik
buyer,"kupujący, nabywca (np. domu)"
by,"obok, przy"
by,"obok, bokiem"
by hand,ręcznie
cab,taksówka
cabbage,kapusta
cabbage soup,kapuśniak
cabin,kabina pasażerska w samolocie
cabin,chata
cable,kablówka
cable TV,telewizja kablowa
cage,klatka
calculator,kalkulator
calf,cielę
call,"krzyczeć, wołać, nawoływać"
call,"nazywać, zwracać się do kogoś"
calm,"spokojny, opanowany, łagodny"
calm,"cisza, spokój"
camel,wielbłąd
camp,"obóz, obozowisko"
campsite,"kemping, pole namiotowe"
canal,kanał
cancel,"anulować, odwoływać"
cancelled,odwołany
cancer,rak (choroba)
candidate,"kandydat, zdający"
candle,świeca
canteen,"stołówka, jadłodajnia"
capital,wielki (litera)
captain,kapitan
card,karta
care,"obchodzić, interesować się, zaprzątać sobie głowę, dbać"
care,"ostrożność, uwaga, staranność"
care,"troszczyć się, dbać"
career,kariera; zawód
carefree,beztroski
careless,"niedbały, niefrasobliwy, nieostrożny, nieuważny"
carry,"mieć przy sobie, nosić ze sobą"
case,"przypadek, sytuacja, okoliczność"
cash,gotówka
cashpoint,bankomat
casual,"codzienny, zwykły, nieformalny, swobodny"
catch,"schwytać, złapać, ująć"
cattle,bydło
cave,jaskinia
CD-ROM,CD-ROM
celebrate,"świętować, obchodzić, uczcić"
celebration,"uroczystość, święto, obchody"
celebrity,"celebryta, znana osoba"
central,"centralny, środkowy"
central heating,centralne ogrzewanie
ceremony,ceremonia
certain,"pewien, przekonany"
certain,"pewny, nieunikniony"
certain,"niejaki, pewien, jakiś"
certificate,"certyfikat, świadectwo"
chain,"sieć (sklepów, restauracji)"
chairlift,wyciąg krzesełkowy
challenge,wyzwanie
challenging,"wymagający, ambitny"
champion,"czempion, mistrz"
championship,mistrzostwa
chance,"możliwość, szansa, prawdopodobieństwo"
chance,"okazja, szansa"
change,wymienić
chapter,rozdział
character,"bohaterka, bohater (np. książki)"
character,charakter
charge,"pobrać opłatę; obciążyć płatnością, liczyć sobie za coś"
charge,opłata
charity,"cele dobroczynne, dobroczynność"
charity,organizacja charytatywna
charming,"uroczy, czarujący"
cheaply,tanio
check,"kontrola, sprawdzenie"
check,"sprawdzić, dowiedzieć się"
check in,"meldować się, zgłosić się do odprawy"
check out,wymeldować się
check-in,"odprawa, stanowisko odprawy"
check-in desk,stanowisko odprawy na lotnisku
checkout,kasa
cheek,policzek
cheerful,"wesoły, radosny"
Cheers!,Zdrowie!
cheesecake,sernik
chemist,chemik
chest of drawers,komoda
chewing gum,guma do żucia
childhood,dzieciństwo
chin,"podbródek, broda"
chocolate bar,baton czekoladowy
choice,wybór
Christmas,święta Bożego Narodzenia
church wedding,ślub kościelny
circle,zakreślić
circus,cyrk
civil,cywilny
civil wedding,ślub cywilny
clap,klaskać
clear,"opróżnić, wyczyścić, posprzątać"
clear,"czysty, przejrzysty"
clearly,"najwidoczniej, najwyraźniej"
cliff,klif
climate,klimat
clinic,"klinika, przychodnia"
coach,"trenerka, trener"
coast,wybrzeże
cockroach,karaluch
cocktail,koktajl alkoholowy
cocoa,kakao
coconut,"kokos, orzech kokosowy"
cod,dorsz
coin,moneta
cold,"oziębły, chłodny, obojętny"
collar,kołnierz
collect,zbierać
collection,"kolekcja, zbiór"
colourful,"barwny, kolorowy"
comb,czesać
comedy,komedia
comfortably,wygodnie
comic,"komiczny, śmieszny, zabawny"
comma,przecinek
comment,"komentarz, uwaga"
common,"częsty, powszechny; pospolity"
common,wspólny
communicate,"porozumiewać się, komunikować się, kontaktować się"
communication,komunikacja
commute,"dojeżdżać (do szkoły, pracy)"
compare,porównywać
compete,"startować, brać udział; rywalizować"
competitor,"zawodnik, rywal"
complain,"reklamować (składać reklamację, skargę)"
complain,narzekać
complaint,"skarga, reklamacja, zażalenie"
complete,kompletny
complete,"zupełny, całkowity"
completely,"zupełnie, całkowicie"
complicated,skomplikowany
composition,wypracowanie
concentrate,"skupić się, skoncentrować się"
conclusion,wniosek
condition,stan
conference,konferencja
confident,pewny siebie
confirm,potwierdzić
confused,zdezorientowany
confusing,"mylący, niejasny, pogmatwany, dezorientujący"
connect,łączyć
connection,"łącze, połączenie"
consider,"przemyśleć, rozważyć, wziąć pod uwagę"
consist,składać się (z czegoś)
consonant,spółgłoska
contact,kontakt (komunikacja)
contain,zawierać
contents,zawartość
contents,"treść, tekst książki itp."
contest,konkurs
continent,kontynent
continue,kontynuować
contract,"kontrakt, umowa"
control,"panować nad, kontrolować"
control,"regulować, sterować"
control,"zarządzać, kontrolować, mieć władzę nad"
convenient,"dogodny, wygodny"
convince,przekonywać
cool,chłodny
cop,"gliniarz, glina"
copy,kopia
corn,zboże (BrE)
corn,kukurydza (AmE)
corner desk,biurko narożne
correct,"odpowiedni, stosowny, na miejscu"
correctly,"poprawnie, właściwie, dobrze"
cosy,"przytulny, wygodny"
cottage,"domek (wiejski, wakacyjny, etc.)"
cotton,bawełna
couch,kanapa
cough,kaszel
cough,kaszleć
count,liczyć
couple,para
courgette,cukinia
court,kort
cover,"przykrycie, osłona"
cover,"dotyczyć, obejmować, odnosić się"
cover,okładka
crash,"rozbić (się), zderzyć się, mieć stłuczkę"
crash,stłuczka
cream,krem
create,tworzyć
creative,"twórczy, kreatywny"
creature,"stworzenie, stwór"
credit,kredyt
crew,"załoga (statku, samolotu)"
crime,"przestępstwo, zbrodnia"
crime,przestępczość
criminal,przestępca
crop,"zbiór, plon"
crop,"roślina uprawna, uprawa"
cross,krzyż (symbol religijny)
crossing,przejście
crown,korona
cruel,okrutny
cruise,rejs
cry,"krzyczeć, krzyknąć"
cucumber,ogórek
cultural,"kulturalny, kulturowy"
culture,kultura
cup,puchar
cure,leczyć
curious,"ciekawy, ciekawski"
curiously,"z ciekawością, z zaciekawieniem"
curly,kręcone (włosy)
currency,waluta
curriculum,program nauczania
cushion,"poduszka, jasiek"
custom,"zwyczaj, obyczaj"
customs,odprawa celna
cut,"rana cięta, skaleczenie"
cute,"śliczny, uroczy"
CV,"życiorys, CV"
cycle,jeździć na rowerze
cyclist,rowerzysta
damage,"uszkodzenie, szkody, zniszczenia, uszczerbek"
damage,"uszkodzić, zniszczyć"
damaged,uszkodzony
dangerously,niebezpiecznie
dark,ciemność
date,termin
date,"spotykać się z kimś, umawiać się na randki"
date,randka
deaf,"niesłyszący, głuchy"
deal,rozdawać karty
death,śmierć
decision,decyzja
declare,zgłosić do oclenia
decorate,"odnawiać, remontować"
decorate,"dekorować, ozdabiać"
decrease,spadek
decrease,"zmniejszać (się), obniżyć (się), spadać, maleć"
deep,"ciemny, głęboki (kolor)"
defeat,pokonać
defeat,"przegrana, porażka"
defence,obrona (w sporcie)
defend,bronić
defend,bronić
defend,bronić
definitely,"zdecydowanie, bez wątpienia, na pewno"
degree,stopień naukowy
delay,opóźnić
delayed,opóźniony
delete,"usunąć, wymazać"
delicious,"smaczny, pyszny"
delighted,zachwycony
deliver,dostarczyć
delivery,dostawa
demand,żądać
demand,"żądanie, postulat"
depart,"odjechać, wylecieć, odpłynąć"
departure,odjazd
departures,"odloty, hala odlotów"
departures timetable,"tablica odjazdów, odlotów"
depend,zależeć
deposit,"depozyt, kaucja, zaliczka"
depressed,przygnębiony
description,opis
deserve,zasługiwać
design,projektować
design,"projekt, wzór"
designer,projektant
despite,pomimo
destination,cel podróży
destroy,niszczyć
detail,szczegół
detective,detektyw; śledczy
develop,rozwijać (się)
develop,"opracować, rozwinąć"
development,rozwój
development,"opracowanie, rozwinięcie, rozwój"
diagram,"schemat, diagram"
dial,wybierać numer telefonu
diet,"dieta (ograniczenie jedzenia, zmiana odżywiania)"
diet,dieta (sposób odżywiania się)
differently,"inaczej, różnie"
difficulty,trudność
dig,"kopać (w ziemi), wykopać"
digital,cyfrowy
dining table,stół do jadalni
direct,kierować (wskazywać drogę)
direct,bezpośredni
direct,reżyserować
direction,kierunek
directly,"bezpośrednio, prosto"
director,dyrektor
director,reżyser
dirt,brud
disabled,niepełnosprawny
disadvantage,"wada, minus, niekorzyść"
disagree,nie zgadzać się
disappear,"zniknąć, zaginąć"
disappoint,rozczarować
disappointed,"rozczarowany, zawiedziony"
disappointing,rozczarowujący
disappointment,rozczarowanie
disc,"płyta, krążek"
"disc jockey, DJ","didżej, dysk dżokej"
discover,odkryć
discussion,dyskusja
disease,choroba
disgusting,"obrzydliwy, ohydny, wstrętny"
dishwasher,zmywarka do naczyń
disk,dysk
dislike,nie lubić
display,"wystawiać, prezentować"
display,wyświetlacz
display,"wystawa, aranżacja"
distance,"odległość, dystans"
district,dzielnica
dive,nurkować
diver,nurek
divide,"dzielić, rozdzielić"
diving,nurkowanie
divorce,rozwód
divorced,rozwiedziony
document,"dokument tekstowy, plik"
documentary,film dokumentalny
dolphin,delfin
donkey,osioł
dot,kropka
double-decker bus,autobus piętrowy
doubt,wątpliwość
doughnut,pączek
download,"pobieranie, ściąganie danych"
dozen,tuzin
drag,przeciągnąć (np. ikonę na ekranie)
drama,"sztuka teatralna, filmowa, radiowa; dramat, teatr"
drawing pin,pinezka
dream,marzenie
dressing table,toaletka
drinking,"picie, pijaństwo"
drive,"napęd, stacja"
drive,jazda; przejażdżka
drop,"spaść, upaść"
drop,kropla
drop,upuścić
dry wine,wino wytrawne
due,"planowy, oczekiwany, spodziewany"
dull,nudny
dumplings,pierogi
dust,"kurz, pył"
dustbin,"kosz na śmieci, śmietnik"
dusty,zakurzony
duty,obowiązek
duty-free,wolnocłowy
duvet,kołdra
earache,ból ucha
early spring,"wczesna wiosna, przedwiośnie"
Earth,Ziemia
eastern,wschodni
easy-going,"mało wymagający, wyluzowany, niefrasobliwy"
easygoing,"spokojny, wyluzowany"
eat out,jeść poza domem
economics,ekonomia
edge,"krawędź, brzeg, skraj"
edge,ostrze
education,"edukacja, wykształcenie"
effect,"skutek, efekt, wpływ"
efficient,"wydajny, sprawny"
efficiently,"efektywnie, wydajnie, sprawnie"
effort,wysiłek
either,"którykolwiek (z dwóch); albo jeden, albo drugi"
either,też (nie)
either... or,albo... albo
elbow,łokieć
elder,starszy (o rodzeństwie)
elderly,starszy
eldest,najstarszy (o rodzeństwie)
election,wybory
electric kettle,czajnik elektryczny
electrical,elektryczny
electronic,elektroniczny
elementary,podstawowy
embarrassed,"zażenowany, zawstydzony, skrępowany"
embarrassing,"wstydliwy, zawstydzający, żenujący, krępujący"
embassy,ambasada
emergency,"sytuacja awaryjna, nagły wypadek"
emergency exit,wyjście ewakuacyjne
employ,zatrudniać
employee,"pracownik, pracownica"
employer,pracodawca
employment,zatrudnienie
encourage,zachęcić
ending,zakończenie
ending,końcówka (w wyrazie)
enemy,wróg
energy,energia
engaged,zaręczony
engineering,inżynieria
enjoyable,"przyjemny, dający radość"
enormous,ogromny
enquiry,zapytanie
enter,"zapisać się, zgłosić  udział"
enter,wprowadzić (dane)
entertain,zabawiać
entertainment,rozrywka
entry,zgłoszenie udziału
entry,"hasło (w encyklopedii, słowniku), wpis (w pamiętniku)"
entry,wejście; wstęp
environment,środowisko
environmental,"środowiskowy, dotyczący środowiska, ekologiczny"
equal,"równy, jednakowy, taki sam"
equally,"równie, tak samo, jednakowo"
equipment,"wyposażenie, sprzęt"
escape,uciec
essay,wypracowanie
essential,"niezbędny, konieczny"
European,"Europejczyk, Europejka"
even,"gładki, równy"
event,"wydarzenie, impreza"
exact,dokładny
examiner,egzaminator
excess luggage,nadbagaż
exchange,wymieniać się czymś
exchange,wymiana
exchange rate,kurs wymiany
excitedly,z podnieceniem
excitement,"podniecenie, ekscytacja"
excuse,wybaczyć
excuse,"wytłumaczenie, wymówka, usprawiedliwienie"
exercise,"robić ćwiczenia fizyczne, ćwiczyć"
exhausted,wyczerpany
exhibit,"wystawiać, eksponować"
exhibition,wystawa
exist,"istnieć; żyć, egzystować"
exit,wyjść
expect,"oczekiwać, spodziewać się, czekać"
expected,"oczekiwany, spodziewany"
expedition,wyprawa
experience,"doświadczenie (umiejętności, wiedza)"
experience,"doświadczyć, przeżyć"
experience,"przeżycie, doświadczenie"
experienced,doświadczony
experiment,eksperyment
expert,"ekspert, ekspertka"
explanation,"wyjaśnienie, wytłumaczenie"
explore,"eksplorować, zgłębiać, badać"
explorer,"odkrywca, badacz"
express,"szybki, ekspresowy"
extra,"dodatkowo, wyjątkowo, bardzo"
extra,"dodatek, dodatkowe wyposażenie"
extraordinary,"niezwykły, zdumiewający, wyjątkowy, nadzwyczajny"
extreme sports,sporty ekstremalne
extremely,"wyjątkowo, niezwykle, niezmiernie, skrajnie"
face,"stawać naprzeciw, zwracać się twarzą do czegoś"
face-to-face,"bezpośredni, twarzą w twarz"
facilities,obiekty; udogodnienia
fair,wesołe miasteczko; jarmark
fair,"uczciwy, sprawiedliwy, słuszny"
fairly,"dosyć, dość"
fall asleep,zasnąć
fall in love,zakochać się
false,"błędny, nieprawdziwy"
familiar,"znajomy, znany"
fancy,mieć ochotę
fare,opłata za przejazd
farming,"rolnictwo, uprawa roli"
farther,dalej
farther,dalszy
farthest,najdalej
farthest,"najdalszy, najbardziej oddalony"
fashionable,modny
fasten,"zapiąć, przymocować"
faucet,kran (AmE)
fault,wina
favour,"grzeczność, przysługa"
favourite,"ulubieniec, pupilek"
fax,przesłać faksem
fear,"obawa, strach, lęk"
fee,"honorarium, opłata"
feed,karmić
feel,"sądzić, uważać"
feeling,uczucie; wrażenie
female,"żeński, płci żeńskiej"
female,"samica, osobnik płci żeńskiej"
ferry,prom
festival,festiwal
fetch,przynieść
fever,gorączka
fiction,"fikcja, beletrystyka"
field,boisko
fifth,"piąta część, jedna piąta"
fight,"walka, bójka"
fight,"walczyć, bić się"
fighter,"zapaśnik, wojownik"
figure,"sylwetka, figura"
figure,"cyfra, liczba (dane)"
film,filmować
filmmaker,filmowiec
filmmaker,filmowiec
final,finał
financial,finansowy
fine,"kara pieniężna, grzywna, mandat"
fine,"dobrze, w porządku"
fine,"ładny, pogodny"
finish,"meta, finisz"
fire station,remiza straży pożarnej
firefighter,strażak
firework,fajerwerk
firm,firma
fish,łowić ryby
fit,"pasować (rozmiarem, np. o ubraniu)"
fitness,"kondycja, sprawność fizyczna, forma"
fix,naprawiać
fix,"ułożyć, poprawić (włosy, make-up, fryzurę)"
fizzy drink,napój gazowany
flag,flaga
flat,płaski
flavour,smak
float,unosić się na wodzie
flood,powódź
flood,zalewać
flooded,zalany wodą
florist's,kwiaciarnia
flour,mąka
flower bed,grządka kwiatowa
flowerpot,doniczka
flu,grypa
flute,flet (poprzeczny)
fly,mucha
fold,"składać, zginać"
folder,"teczka, segregator"
folder,"folder, katalog (plików)"
folk,folk (rodzaj muzyki)
folk,"folkowy, ludowy"
follow,"rozumieć, nadążać za czyimś tokiem myślenia"
follow,"jechać, trzymać się (drogi, trasy, ścieżki)"
follow,nastąpić po
follow,"przestrzegać, stosować się do (np. zasad)"
following,następujący; następny
fool,"głupiec, głupek"
foot,stopa (jednostka miary)
forbidden,"zakazany, zabroniony"
forecast,prognoza
forehead,czoło
foreigner,obcokrajowiec
forever,"na zawsze, wiecznie"
forgetful,zapominalski
forgive,wybaczać
form,forma (w gramatyce)
form,"tworzyć, formować"
former,poprzedni
fortnight,dwa tygodnie
fortunately,na szczęście
forward,do przodu
forward,"do przodu, w przód; przedni"
fountain,fontanna
frame,"rama, ramka"
free,"wolny, swobodny"
freeze,"zamrażać, zamrozić"
freeze,zamarzać
freezer,zamrażarka
freezing,"lodowato, przeraźliwie zimno"
freezing,"mroźny, marznący"
frequent,częsty
frequently,często
fresh,"świeży, rześki"
fresh,"świeży, nowy"
fresh air,świeże powietrze
fried egg,jajko sadzone
friendship,przyjaźń
frightened,"przestraszony, przerażony"
frightening,"przerażający, straszny"
frog,żaba
front,"przedni, frontowy"
frozen,mrożony
frozen,"przemarznięty, zziębnięty"
frozen,zamarznięty
fry,smażyć
frying pan,patelnia
fuel,paliwo
full stop,kropka
full-time,"pełnoetatowy, na pełny etat"
fully,w pełni
fur,"futro, sierść"
furniture store,sklep meblowy
further,"więcej, dalej"
furthest,najdalszy
furthest,najdalej
future,przyszły
future,przyszłość
gain,"nabrać (prędkości), przybrać (na wadze), wzrosnąć"
gain,"osiągnąć, zdobyć, uzyskać"
gallery,galeria
game show,teleturniej
gap,"luka, szczelina, szpara, odstęp, przerwa"
garage,warsztat samochodowy
garbage,śmieci; bzdury (AmE)
gate,"bramka, wyjście"
gay,"homoseksualny, gejowski"
general,"ogólny (niespecjalistyczny, nieograniczony)"
general,ogólny (bez szczegółów)
generally,"na ogół, ogólnie; powszechnie"
generation,pokolenie (ludzie)
generous,hojny
gentle,"delikatny, łagodny"
ghost,duch
giant,"wielkolud, olbrzym"
giant,"gigantyczny, olbrzymi"
giraffe,żyrafa
girlfriend,"koleżanka, przyjaciółka"
give away,rozdać
go,"próba, podejście (np. podczas gry)"
goal,cel
goalkeeper,bramkarz
goat,koza
goods,towar
goose,"gęsina, mięso gęsi"
gorgeous,"cudowny, zachwycający, wspaniały"
government,rząd
grab,"chwycić, złapać"
grade,stopień
grammar,gramatyka
grant,"sypendium, grant, dotacja"
graphics,grafika
grateful,wdzięczny
green tea,zielona herbata
greengrocer's,"warzywniak, zieleniak"
greet,"witać, pozdrawiać"
greeting,powitanie; pozdrowienie
grill,opiekacz w piekarniku
grill,"kratka do opiekania, grill"
grocer'sgrocer's,sklep spożywczy
grocery,sklep spożywczy
groom,pan młody
ground,teren przeznaczony do czegoś (np. boisko)
grow,"zapuszczać (brodę, włosy, itp.)"
guard,"strażnik, strażniczka, ochroniarz"
guess,"domysł, próba odgadnięcia"
guesthouse,pensjonat
guide,"oprowadzić, poprowadzić"
guilty,winny
guitarist,gitarzysta
gun,pistolet
gym,sala gimnastyczna
gym,siłownia
gymnastics,gimnastyka
habit,"zwyczaj, przyzwyczajenie, nawyk"
haircut,"fryzura, cięcie włosów"
hairdresser,"fryzjerka, fryzjer"
hairdryer,suszarka do włosów
half,"w połowie, częściowo, na wpół"
hand,"wręczyć, podać"
hand luggage,bagaż podręczny
hand-held,"ręczny, przenośny"
handkerchief,chusteczka z materiału
handle,"zająć się czymś, poradzić sobie z czymś"
handsome,przystojny
handwriting,"pismo ręczne, charakter pisma"
hang,zawiesić
happily,szczęśliwie; wesoło
happiness,szczęście
harbour,port
hardly,"ledwie, prawie nie"
hardware,"sprzęt, hardware"
hare,zając
head,"kierownik, dyrektor, szef"
headline,nagłówek
heart,"serce (emocje, charakter)"
heart,"centrum, środek, sedno"
heart attack,"atak serca, zawał"
heat,upał
heater,grzejnik
heavily,"mocno, silnie, ciężko, bardzo"
heavy,"mocny, silny, obfity, intensywny, poważny"
heel,obcas
height,wzrost; wysokość
helpful,"pomocny, uczynny"
herb,zioło
hero,"bohaterka, bohater (książki, sztuki, itp.)"
hero,"bohaterka, bohater"
hidden,"ukryty, schowany"
hide,"chować, ukrywać (się)"
high,"wysoki, duży (np.cena)"
high,wysoko
highway,autostrada (AmE)
hippo,hipopotam
hire,"wynająć, wypożyczyć"
historic,"zabytkowy, historyczny; wiekopomny"
historical,"historyczny, odnoszący się do historii"
hit,"hit, przebój"
hit,uderzyć w coś
hitchhike,"łapać autostop, jeździć autostopem"
hockey stick,kij hokejowy
hold,"zorganizować, urządzić, przeprowadzić"
hold,przytrzymać; podtrzymywać
hold,mieścić
hole,"dziura, otwór"
honestly,"szczerze, naprawdę, jeśli mam być szczery/-a"
honeymoon,"miesiąc miodowy, podróż poślubna"
hope,nadzieja
hopeful,"pełen nadziei, optymistyczny"
hopefully,"miejmy nadzieję, że"
hopeless,"rozpaczliwy, bezradny"
horror film,"horror, film grozy"
hostel,"schronisko, hostel"
hostel,"noclegownia, schronisko (np. dla bezdomnych)"
hot,"ostry, pikantny"
housework,prace domowe
hug,"przytulić, objąć"
hug,"przytulenie, objęcie, uścisk"
huge,"olbrzymi, ogromny"
human,człowiek
human,ludzki
humid,wilgotny
humour,humor
hunger,głód
hunt,polować
hurt,"zraniony, dotknięty"
hurt,"uraza, krzywda, ból"
hurt,zranić (emocjonalnie)
hut,"szałas, chata"
ice hockey,hokej na lodzie
ice skating,"łyżwiarstwo, jazda na łyżwach"
icy,"lodowaty, oblodzony"
idea,pogląd
