Słowo angielskie,Tłumaczenie
blackboard,tablica (do pisania kredą)
blanket,koc
blonde,blond
blood,krew
blue,"błękit, kolor niebieski"
board,tablica
board,plansza
board game,"gra planszowa, planszówka"
boil,"gotować, wrzeć"
boiled,gotowany
book,rezerwować
bookcase,"regał na książki, biblioteczka"
bookshelf,półka na książki
bookshop,księgarnia
bookstore,księgarnia
boot,"but (wysoki), kozak"
born,"urodzony, narodzony"
borrow,pożyczyć (od kogoś)
boss,szef
bother,"kłopotać, przeszkadzać, zawracać głowę"
bottle,butelka
bottom,"dół, spód, dno"
bowl,miska
boyfriend,chłopak (sympatia)
brain,mózg
break,"zepsuć, zepsuć się"
break,"łamać, złamać, stłuc"
break,przerwa
bridge,most
bright,"żywy, jaskrawy"
bring,"przyprowadzić, przynieść"
bring back,"odnieść, przynieść z powrotem, oddać"
broken,zepsuty
broken,"stłuczony, złamany, potrzaskany"
broken,złamany
brown,brąz (kolor)
brush,"szorować, szczotkować"
brush,"szczotka, szczoteczka"
build,budować
building,"budowanie, budowa"
building,budynek
burger,hamburger
bus station,dworzec autobusowy
bus stop,przystanek autobusowy
business,biznes (firma)
business,biznes (interesy; sprawy zawodowe)
businessman,"biznesmen, przedsiębiorca"
businesswoman,"biznesmenka, kobieta biznesu"
busy,"pracowity, gorączkowy (czas, dzień itp.); zatłoczony, ruchliwy"
busy,"zajęty, zapracowany"
by,"do, przed, nie później niż"
by,przez
by,poprzez (itp - dla podania sposobu)
cabinet,"szafka, serwantka"
cafeteria,"bufet, stołówka, kafeteria, bar samoobsługowy"
calendar,kalendarz
call,telefon (rozmowa telefoniczna)
call,"dzwonić, telefonować"
camp,"rozbić obóz, biwakować"
camping,biwakowanie
can,puszka
candy,cukierek; słodycze
cap,czapka
capital,wielka litera
capital,stolica
car park,parking
card,kartka (okolicznościowa)
card,karta (np. do gry)
card game,gra karciana
careful,"ostrożny, uważny"
carefully,"ostrożnie, uważnie, starannie"
carpet,dywan
carrot,marchew
cartoon,"żart rysunkowy, rysunek satyryczny, rysunek komiksowy"
cartoon,kreskówka
case,"pojemnik, futerał, pudełko, etui"
castle,zamek
catch,"dosłyszeć, usłyszeć, zrozumieć"
cathedral,katedra
CD,"(płyta) CD, płyta kompaktowa"
ceiling,sufit
cent,cent
centimetre,centymetr (jednostka miary)
centre,"centrum, środek"
centre,"centrum, ośrodek (np. sportowy)"
century,"wiek, stulecie"
cereal,płatki zbożowe
certainly,"oczywiście, na pewno, z pewnością, zdecydowanie"
chain,"łańcuch, łańcuszek"
champagne,szampan
change,"zmienić ubranie, przebrać się"
change,reszta; drobne
change,przesiąść się
change,przesiadka
change,zmiana
change,rozmienić (pieniądze)
changing room,przymierzalnia
channel,kanał (telewizyjny)
chat,czatować (prowadzić rozmowę w internecie)
chat,"pogaduszki, pogawędka, rozmowa"
chat,"rozmowa internetowa, czat"
chat,"rozmawiać, gawędzić"
check,"sprawdzać, kontrolować"
cheetah,gepard
chef,"szef kuchni, szefowa kuchni"
chemist,"aptekarka, aptekarz"
chemist's,apteka
chemistry,"struktura chemiczna, skład chemiczny"
chemistry,chemia (nauka; przedmiot)
cheque,czek
chess,szachy
chicken,kurczak
chicken,kurczak
chilli,chili (papryka)
church,kościół
cigarette,papieros
circle,"koło, okrąg"
city centre,centrum miasta
class,"klasa, kategoria"
classical,klasyczny
classical music,muzyka klasyczna
classmate,kolega/koleżanka z klasy
cleaner,"sprzątaczka, sprzątacz"
clear,"oczywisty, jasny, klarowny"
clearly,jasno; wyraźnie
click,kliknięcie
click,klikać myszką
climb,wspinać się
climbing,wspinaczka
close,"zamykać, kończyć pracę"
close,bliski
closet,szafa (AmE)
clothes shop,sklep odzieżowy
cloud,chmura
cloudy,"zachmurzony, pochmurny"
clown,klaun
club,klub
coach,autokar
coffee table,"stolik kawowy, ława"
cola,cola
cold,przeziębienie
colleague,"kolega z pracy, współpracownik"
collect,"kolekcjonować, zbierać"
collect,"odebrać, iść po"
college,szkoła; uczelnia; kolegium; fakultet; wydział
comb,grzebień
come back,wracać
come in,"wchodzić, wejść"
comfortable,wygodny
comic,komiks
company,firma
comparative,stopień wyższy (przymiotnika lub przysłówka)
competition,"zawody, konkurs"
complete,"zakończyć, ukończyć"
complete,"uzupełniać, wypełniać"
concert,koncert
contact,kontaktować się
contact,"kontakt, znajomy"
cooker,"piecyk, kuchenka"
cooking,gotowanie
cool,"fajny, świetny, wyluzowany, modny, spoko"
copy,kopiować; kserować
corner,róg
correct,"poprawny, prawidłowy"
cost,koszt
cost,kosztować
could,forma przeszła czasownika can w znaczeniu umieć i móc; grzecznościowa forma czasownika can np. w prośbach
countryside,"wiejska okolica, wieś"
course,danie (część posiłku)
cousin,"kuzyn, kuzynka"
cover,"przykryć, zasłonić"
crazy,"szalony, zwariowany"
cream,kremowy
cream,śmietana
cricket,krykiet
crisp,czips
crisps,czipsy
cross,"przechodzić, przedostać się (na drugą stronę)"
crowd,tłum
crowded,zatłoczony
cry,płakać
cupboard,szafka
curry,curry (potrawa indyjska)
curtain,zasłona
customer,klient
cut,"ciąć, kroić"
cycling,"jazda na rowerze, kolarstwo"
cycling,jazda na rowerze
daily,"codziennie, dziennie"
daily,"codzienny, dzienny"
dance,"zabawa taneczna, potańcówka, tańce"
dancer,"tancerka, tancerz"
danger,niebezpieczeństwo
dangerous,niebezpieczny
day,dzień (przeciwieństwo nocy)
day,"dzień, doba"
dead,martwy
decide,decydować
deep,głęboki
defence,"ochrona, obrona"
defence,"obrona, obronność"
degree,stopień temperatury
delay,opóźnienie
dentist,"dentystka, dentysta"
department,"dział, wydział"
department store,dom handlowy
describe,opisać
desert,pustynia
dessert,deser
diary,pamiętnik
diary,"terminarz, kalendarz"
difference,różnica
different,inny; różny
digital,cyfrowy
digital camera,cyfrowy aparat fotograficzny
digital TV,"telewizja cyfrowa, telewizor cyfrowy"
dinosaur,dinozaur
diploma,"świadectwo, dyplom"
directions,wskazówki (jak gdzieś dotrzeć)
dirty,brudny
disco,dyskoteka
discount,"rabat, zniżka"
discuss,"dyskutować, omawiać"
dish,naczynie
dish,danie (potrawa)
do,uprawiać (sport)
document,dokument
double,"dwuosobowy, dla dwóch osób, podwójny"
double,podwójny
double room,pokój dwuosobowy
download,pobrać/ściągnąć z internetu
downstairs,"na dole, na dół, na parterze, piętro niżej"
downtown,"centralny, położony w centrum miasta"
downtown,"do centrum, w kierunku śródmieścia, w centrum"
drawer,szuflada
drawing,rysowanie
drawing,rysunek
dream,śnić
dream,sen
dress,ubierać (się)
dressed,ubrany
drink,drink
drink,pić (alkohol)
driving licence,prawo jazdy
drugstore,"apteka, drogeria (AmE)"
drum,"bęben, bębenek"
drums,perkusja
dry,"suchy, przesuszony, spierzchnięty"
dry,suszyć
duck,kaczka
duck,kaczka (mięso)
during,"podczas, w trakcie"
DVD player,odtwarzacz DVD
each,"dla każdego, po jednym, za sztukę, za każdy"
each other,"się, sobą, siebie (wzajemnie)"
early,wczesny
early,wcześnie
earn,zarabiać
earring,kolczyk
earrings,kolczyki
easily,"łatwo, z łatwością"
east,wschód
east,"na wschód, na wschodzie"
east,wschodni
eating,"jedzenie, zjadanie, spożywanie"
eighth,ósmy
electric,elektryczny
electricity,"elektryczność, prąd"
elephant,słoń
else,inny
email,"e-mail, poczta elektroniczna"
email,"wysłać e-mail, napisać do kogoś e-mail"
empty,pusty
end,kończyć (się)
engine,silnik
engineer,inżynier
English,angielski
English,język angielski
enjoy oneself,dobrze się bawić
enough,dosyć; wystarczająco dużo
enough,wystarczająco
enter,wejść
entrance,wejście
envelope,koperta
eraser,gumka do ścierania
especially,"zwłaszcza, szczególnie"
euro,euro
even,nawet
ever,"kiedykolwiek, kiedyś"
everybody,każdy; wszyscy
everyone,każdy; wszyscy
everything,wszystko
everywhere,wszędzie
exactly,dokładnie
exam,egzamin
examination,egzamin
examination paper,arkusz egzaminacyjny; arkusz z odpowiedziami do testu
excellent,"świetny, znakomity, doskonały"
except,"z wyjątkiem, oprócz"
exercise,"ćwiczenie, zadanie"
exercise,"ćwiczenie/ćwiczenia fizyczne, gimnastyka"
exit,zjazd (z autostrady)
exit,wyjście
explain,"wyjaśnić, wytłumaczyć"
extra,dodatkowy
fact,fakt
fail,"nie zdać, oblać"
fair,jasny (np. włosy)
fall,jesień (AmE)
fall,"spaść, upaść"
fan,"fan, wielbiciel"
fan,"kibic, fan"
fantastic,"fantastyczny, świetny"
far,daleko
farmer,"rolnik, farmer"
fashion,moda
fast,szybko
fast food,fast food
few,"mało, niewiele"
field,pole
fifth,piąty
file,plik
file,"segregator, teczka"
fill,"napełniać, wypełniać"
final,"ostatni, finałowy, końcowy"
finally,"nareszczie, w końcu"
finger,palec (u dłoni)
fire,pożar
fire,ogień
first name,imię
fishing,łowienie ryb
fit,"sprawny, wysportowany"
flight,lot
floor,piętro
fly,"fruwać, latać"
fog,mgła
foggy,mglisty
follow,"podążać za, iść za, śledzić"
footballer,piłkarz
for,"na (okazję, okoliczność)"
for,za (kwotę)
for,"do, na (cel)"
for sale,na sprzedaż
foreign,"zagraniczny, obcy"
forest,las
forget,zapomnieć
fork,widelec
form,formularz
forty,czterdzieści
fourth,czwarty
free,bezpłatny
free,"za darmo, bezpłatnie"
fresh,świeży
fridge,lodówka
fried,smażony
friendly,"przyjacielska, przyjazna (atmosfera)"
friendly,"przyjacielski, przyjazny, serdeczny"
front,przód
full,"kompletny, cały, pełny"
full,pełny
fun,"fajny, miły, przyjemny"
furniture,meble
further,dalszy; dodatkowy
game,"partia, mecz, rozgrywka"
garage,garaż
garlic,czosnek
gas,gaz (np. do gotowania)
gas station,stacja benzynowa (AmE)
gate,"brama, furtka"
geography,geografia
get,"przynieść, przyprowadzić, iść po coś/kogoś"
get married,pobrać się
get off,wysiadać
get on,wsiadać
gift,"prezent, podarunek, upominek"
girlfriend,dziewczyna (sympatia)
glad,zadowolony
glove,rękawiczka
gloves,rękawiczki
go in,"wejść, dostać się do środka"
goal,bramka; gol
goal,bramka
gold,złoty
gold,złoto
golden,"złoty, złocisty"
golf,golf
good-looking,"atrakcyjny, przystojny"
goose,gęś
gram,gram
gramme,gram
grandchild,"wnuk, wnuczka"
grandchildren,wnuczęta
granddad,dziadek
granddaughter,wnuczka
grandfather,dziadek
grandma,babcia
grandmother,"babka, babcia"
grandpa,dziadek
grandparent,"dziadek, babcia"
grandparents,dziadkowie
grandson,wnuczek
granny,"babcia, babunia"
grape,winogrono
grapefruit,grejpfrut
grapes,winogrona
green,zieleń (kolor)
grey,"popiel, szarość"
grilled,"z rusztu, grillowany"
grow,"uprawiać, hodować"
grow,rosnąć
grow up,"dorastać, wychowywać się"
guess,"domyślać się, zgadnąć"
guest,gość
guide,"przewodnik, przewodniczka"
guidebook,przewodnik (książka)
guinea pig,świnka morska
guy,"facet, gość"
half,"połowa, połówka"
half-price,"przeceniony o 50%, za pół ceny, ze zniżką 50%"
hall,"aula, sala"
hall,"hol, przedpokój"
ham,szynka
hamster,chomik
handbag,torebka damska
happen,"wydarzyć się, dziać się"
hard,twardy
hate,nienawidzić
have to,musieć
head,dyrektor szkoły
headache,ból głowy
headteacher,dyrektor szkoły
health,zdrowie
healthy,zdrowy
healthy,zdrowy
heart,serce
heating,ogrzewanie
heavy,ciężki
helicopter,"helikopter, śmigłowiec"
help,pomoc
herself,"się, siebie, sobie, sobą; sama (3. os. l.poj., r. żeński)"
hey,hej
high,wysoki
hill,"wzgórze, pagórek, wzniesienie"
himself,"się, siebie, sobie, sobą; sam (3 os. l.poj., r. męski)"
hip-hop,hip-hop
history,historia
hit,uderzyć
hobby,hobby
hockey,hokej
hold,trzymać
home,do domu
honest,"uczciwy, szczery, prawdomówny"
honey,miód
hope,mieć nadzieję
horrible,"okropny, straszny, koszmarny"
hot chocolate,gorąca czekolada
housewife,gospodyni domowa
how,jak
however,jednak
hundred,sto
hurry,spieszyć się
hurt,"ranić (się), zrobić krzywdę"
hurt,boleć
ice,lód
ice,lód
ID,"dowód tożsamości, legitymacja, karta identyfikacyjna"
ID card,"dowód tożsamości, legitymacja, karta identyfikacyjna"
idea,"pomysł, myśl, plan"
identification,dowód tożsamości
if,"jeśli, jeżeli"
ill,chory
immediately,natychmiast
improve,"poprawić (się), ulepszyć"
in,"do wewnątrz, do środka"
in,za
include,"obejmować, zawierać, uwzględniać"
including,"łącznie z, w tym, wliczając"
indoor,"kryty, wewnętrzny"
information,"informacja, informacje"
insect,owad
inside,"do środka, w środku, wewnątrz"
instead,"w zamian, zamiast"
instructions,instrukcja obsługi; instrukcje
instrument,instrument
interested,zainteresowany
international,międzynarodowy
invitation,zaproszenie
island,wyspa
IT,technologia informacyjna; informatyka
itself,"się, sobie; sama / sam (3. os. l. poj., rodz. nijaki)"
jacket,"żakiet, marynarka; kurtka"
jam,dżem
jazz,jazz
jewellery,biżuteria
join,"przyłączyć się do kogoś, iść razem"
join,"dołączyć do, wstąpić do (np. organizacji, grupy, klubu, itp.)"
journey,podróż
jump,skakać
jumper,sweter wkładany przez głowę
just,właśnie
keep,"trzymać, przechowywać"
keep,"trzymać się czegoś, pozostać/utrzymać w jakimś stanie"
keep,"zatrzymać, zachować"
keyboard,klawiatura
keyboard,keyboard (instrument klawiszowy)
kick,"kopniak, kopnięcie"
kill,zabić
kilo,kilo; kilogram
kilogram,kilogram
kilogramme,kilogram (BrE)
kilometre,kilometr
kind,uprzejmy
king,król
kiss,"pocałunek, całus, buziak"
kiss,całować
kit,"zestaw, wyposażenie, ekwipunek, komplet, sprzęt"
kitchen table,stół kuchenny
kite,latawiec
know,"znać, wiedzieć"
lake,jezioro
lamp,lampa
language,język
laptop,laptop
large,duży
last,ostatni
last,"ostatni, poprzedni"
last name,nazwisko
later,później
latest,"ostatni, najnowszy"
laugh,śmiać się
lazy,leniwy
leather,skóra
leave,zostawić
left,"w/na lewo, po lewej"
left,lewa strona
left,lewy
left-hand,"lewy, lewostronny"
lemon,cytryna
lemon,cytrynowy
lemon,kolor cytrynowy
lemonade,lemoniada
lend,pożyczyć (komuś)
less,mniej
letter,litera
level,"poziom (wiedzy, umiejętności)"
library,biblioteka
licence,pozwolenie; koncesja; licencja; świadectwo
lie,leżeć
lie down,położyć się
life,życie
lift,podwiezienie
lift,winda
light,"światełko, lampka"
light,lekki
light,światło
like,"(tak, taki, taka, takie) jak"
line,linia
lion,lew
list,lista
litre,litr
live,"mieszkać, żyć"
lollipop,lizak
long,długo
look after,"opiekować się, doglądać"
lose,zgubić
lost,"zagubiony, zbłąkany"
loud,"głośny, hałaśliwy"
lovely,"śliczny, uroczy"
low,niski
low,"cichy, słaby, przygaszony"
luck,"szczęście, powodzenie"
lucky,"szczęśliwy, pomyślny"
luggage,bagaż
lunchtime,pora lunchu
machine,maszyna; urządzenie
mad,szalony
mad,wściekły
magazine,"magazyn, czasopismo"
magic,"magiczny, czarodziejski"
magic,"magia, czary"
mail,poczta
main course,danie główne
make-up,makijaż
manager,"kierownik, kierowniczka, menadżer, menadżerka"
mango,mango
map,mapa
mark,"ocena, stopień"
market,targ; rynek
married,"zamężna, żonaty"
match,mecz
mathematics,matematyka
maths,"matematyka, matma"
matter,"liczyć się, mieć znaczenie"
may,"móc (wyraża np. możliwość, pozwolenie)"
maybe,"może, być może"
mean,znaczyć
mean,mieć na myśli
mechanic,mechanik
medicine,lekarstwo
meeting,spotkanie
melon,melon
member,"członek (rodziny, grupy)"
member,"członek (klubu, zespołu)"
memory,pamięć (komputera)
menu,"menu, jadłospis, karta dań"
menu,menu
metre,metr
microwave (oven),kuchenka mikrofalowa
midday,południe
middle,środek
midnight,północ
might,"móc, może"
milkshake,koktajl mleczny
million,milion
mine,"mój, moja, moje"
mineral water,woda mineralna
minus,"minus, odjąć; bez"
mirror,lustro
miss,tęsknić
miss,spóźnić się na
missing,zaginiony; brakujący
mistake,błąd
mix,"mieszać, łączyć"
model,"model (czegoś), typ"
model,model
modern,nowoczesny
moment,"moment, chwila (krótki czas)"
monkey,małpa
monthly,"miesięczny, comiesięczny"
moon,księżyc
more,bardziej; więcej
mosque,meczet
most,"najbardziej, najwięcej"
most,większość
motorbike,motocykl
motorway,autostrada
mountain,góra
mouse,mysz
mouse,myszka komputerowa
move,"ruszać (się), przenosić (się), przesuwać (się)"
movie star,gwiazda filmowa
MP3 player,odtwarzacz mp3
Ms,pani (tytuł używany przed nazwiskiem kobiety dla uniknięcia odniesienia do jej stanu cywilnego)
mug,kubek
mushroom,grzyb; pieczarka
musical,muzyczny
must,musieć
myself,"się, siebie, sobie, sobą; sama / sam (1. os. l. poj.)"
national,"narodowy, państwowy; krajowy"
nature,"natura, przyroda"
nearly,"prawie, niemal"
neck,"szyja, kark"
necklace,naszyjnik
negative,przeczący
neighbour,"sąsiad, sąsiadka"
next,"potem, później"
next to,obok
no one,nikt
nobody,nikt
noisy,hałaśliwy
noon,południe
normal,normalny
north,"na północ, na północy"
north,północ
north,północny
notebook,notes
nothing,nic
notice,"ogłoszenie, notatka, zawiadomienie, informacja"
noun,rzeczownik
nurse,"pielęgniarka, pielęgniarz"
occupation,"praca, zawód"
off,wyłączony
off,nieobecny
offer,"oferta, propozycja"
office,biuro
oil,olej
OK,"dobrze, bezproblemowo"
OK,"w porządku, wolno/można (pozwolenie)"
OK,"okej, odpowiedni, dobry, ładny, w porządku"
OK,"znośny, zadowalający"
old,"dawny, poprzedni, stary"
omelette,omlet
on,włączony
on foot,pieszo
once,raz
one,"ten, ta, to"
onion,cebula
online,"online, w internecie, przez internet"
online,"internetowy, sieciowy"
open,"otwierać, zaczynać pracę (np. sklep)"
open,otwarty
opera,opera
opposite,naprzeciwko
orange,"pomarańcz, kolor pomarańczowy"
order,zamówienie
order,zamawiać
ours,"nasz, nasza, nasze"
ourselves,"się, siebie, sobą, sobie; same / sami (1. os. l. mn.)"
out,"poza domem (nie w domu, nie w pracy)"
out of,z
outside,"na zewnątrz, na dworze"
over,na
over,nad
over,"ponad, powyżej"
own,własny
p.m.,po południu; wieczorem
pack,pakować
pain,ból
paint,farba
painter,"malarz, malarka"
painter,malarz pokojowy
painting,"malowanie (ścian, domu)"
painting,malowanie; malarstwo
painting,obraz
pair,para
pale,"jasny, blady"
park,parkować
pass,zdać
passenger,"pasażer, podróżny"
passport,paszport
past,po
past,"obok, koło"
pasta,makaron
path,ścieżka
PC,"PC (pecet), komputer osobisty"
PC /personal computer/,"pecet, komputer osobisty"
pear,gruszka
pence,pensy (l.mn.)
penfriend,kolega korespondencyjny
pepper,pieprz
per,"za, na"
perfect,"doskonały, idealny"
perfume,perfumy
perhaps,"może, być może"
pet shop,sklep zoologiczny
petrol,benzyna
petrol station,stacja benzynowa
photograph,"fotografia, zdjęcie"
photographer,fotograf
photography,fotografia (dziedzina sztuki)
physics,fizyka
piano,pianino
piece,kawałek; element
piece,"egzemplarz, sztuka"
pillow,poduszka
pilot,pilot
pink,róż (kolor)
pink,różowy
pity,szkoda (że)
place,"miejsce, czyjś dom"
plan,"planować, zamierzać"
plan,"plan, zamiar"
plastic,plastik
plastic,plastikowy
plastic bag,reklamówka
platform,peron
play,"grać, odtwarzać, puszczać"
play,grać (na instrumencie)
play,"sztuka, przedstawienie"
player,muzyk
player,odtwarzacz
playground,plac zabaw
pleasant,"miły, przyjemny"
pleased,zadowolony
plural,liczba mnoga
plus,"plus, oraz"
pocket,kieszeń
point,wskazywać
police,policja
police car,radiowóz
police officer,"policjantka, policjant"
police station,posterunek/komisariat policji
policeman,policjant
policewoman,policjantka
polite,"uprzejmy, kulturalny, grzeczny"
pool,basen
poor,biedny
pop,pop (muzyka)
popular,"popularny, lubiany"
possibly,"może, być może"
post,wysyłać pocztą
post office,poczta
postcard,pocztówka
poster,plakat
pound,funt
practice,"praktyka, ćwiczenia, trening"
prefer,"preferować, woleć"
prepare,"przygotować, zrobić"
present,prezent
pretty,ładny
print,drukować
printer,drukarka
prize,nagroda
probably,prawdopodobnie
program,program (komputerowy)
programme,"program, audycja"
project,"projekt, zadanie"
pub,pub
pull,ciągnąć
pupil,"uczeń, uczennica"
purple,"fioletowy, purpurowy"
purple,"fiolet, purpura"
purse,portmonetka
push,pchać
put on,założyć (ubranie)
puzzle,łamigłówka; rebus; układanka
queen,królowa
question,"pytanie, zadanie testowe"
question,pytanie
quickly,szybko
quiet,"spokojny, cichy"
quite,"dosyć, całkiem"
quiz,"quiz, teleturniej"
rabbit,królik
rabbit,królik (mięso)
race,wyścig
racket,"rakietka, rakieta"
railway,"kolej, tory, szyny"
railway station,dworzec kolejowy
raincoat,płaszcz przeciwdeszczowy
rap,rap
rat,szczur
read,czytać (komuś) na głos
real,"realny, rzeczywisty"
real,"prawdziwy, autentyczny"
reason,"powód, przyczyna"
receipt,"paragon, pokwitowanie"
receive,"otrzymać, odebrać"
receptionist,"recepcjonista, recepcjonistka"
record,nagrywać
red,czerwień
red,czerwony
red hair,rude włosy
refrigerator,lodówka
rent,wynajmować
rent,czynsz
repair,"naprawiać, reperować"
repeat,powtarzać
report,opis postępów ucznia
rest,reszta
rest,odpoczynek
return,zwracać
return,"powrócić, wracać"
rich,bogaty
right,w/na prawo
right,prawy
right,prawa strona
right-hand,prawy
ring,pierścionek
ring,dzwonić
roast,pieczony
roast,"opiekać, piec"
robot,robot
rock,"rock, muzyka rockowa"
roof,dach
round,okrągły
round,"dookoła, wokół"
roundabout,rondo
rubber,gumka do ścierania
rugby,rugby
ruler,linijka
runner,biegacz
running,bieganie
safe,bezpieczny
sailing,"żeglarstwo, żeglowanie"
salad,sałatka
sale,wyprzedaż
sales assistant,"sprzedawca, ekspedientka"
salesperson,"sprzedawczyni, sprzedawca, handlowiec"
sauce,sos
sausage,kiełbasa
save,"zachować, zatrzymać, zostawić"
save,oszczędzać
save,zachować
scarf,"chusta, szalik"
schoolchild,"uczeń, uczennica"
science,nauka
science,"nauki ścisłe, nauki przyrodnicze (przedmiot)"
scissors,nożyczki
scooter,skuter
screen,ekran
seat,"siedzenie, miejsce (siedzące)"
second,sekunda
secretary,"sekretarz, sekretarka"
see,"obejrzeć, oglądać"
sell,"sprzedawać, sprzedawać się"
serious,poważny
serve,"podawać, serwować"
set,"zestaw, komplet"
seventh,siódmy
several,kilka
shame,szkoda
shampoo,szampon
share,podzielić się (czymś z kimś)
share,"współdzielić, korzystać wspólnie"
sheet,kartka
shelf,półka
ship,statek
shoe shop,sklep obuwniczy
shop assistant,"sprzedawca, ekspedientka"
shopping,zakupy (towar)
shopping centre,centrum handlowe
shorts,spodenki
should,"powinien, powinna, powinno, powinni, etc. (powinność,  pożądane zachowanie)"
shout,krzyczeć
show,przedstawienie; program; pokaz
shut,zamknąć
sick,odczuwający mdłości
sick,chory
side,"bok, krawędź, brzeg"
side,strona
sightseeing,zwiedzanie
sign,znak
silver,srebrny (koloru srebrnego)
silver,srebro
silver,srebrny (ze srebra)
simple,"prosty, łatwy"
since,od (czasu)
singer,"piosenkarka, piosenkarz; śpiewaczka, śpiewak"
singing,"śpiewanie, śpiew"
single,"jednoosobowy, pojedynczy"
single,"niezamężna, wolna, wolny"
singular,pojedynczy
singular,liczba pojedyncza
sink,"zlewozmywak, zlew"
sit,"siedzieć, usiąść"
sitting room,"salon, pokój dzienny"
size,"wielkość, rozmiar"
skate,"jeździć na łyżwach, jeździć na wrotkach"
skate,łyżwa; wrotka
skateboard,deskorolka
skateboarding,jazda na deskorolce
skating,jazda na łyżwach/wrotkach
skiing,"narciarstwo, jazda na nartach"
sky,niebo
slice,"plasterek, kawałek, kromka"
slowly,"wolno, powoli"
snack,"przekąska, przegryzka"
snake,wąż
snow,padać (śnieg)
snowboarding,"snowboarding, jazda na desce snowboardowej"
so,"taki, tak"
soap,mydło
sock,skarpetka
sofa,"sofa, kanapa"
soft,miękki
soft drink,"napój bezalkoholowy, napój gazowany"
software,oprogramowanie
somebody,ktoś
someone,ktoś
somewhere,gdzieś
song,piosenka
soon,"niedługo, wkrótce"
sorry,"skruszony, odczuwający przykrość"
sort,rodzaj
soul,"soul, muzyka soulowa"
sound,brzmieć
sound,"dźwięk, odgłos"
south,"na południe, na południu"
south,południe
south,południowy
space,"miejsce, przestrzeń"
spare,"wolny, zapasowy"
spare time,czas wolny
speaker,głośnik
special,"wyjątkowy, specjalny, szczególny"
spell,przeliterować
spelling,pisownia; ortografia
spend,wydawać (pieniądze)
spend,spędzać
spoon,łyżka
sports centre,"centrum rekreacyjne, ośrodek sportowy, kompleks sportowy"
spring,wiosna
square,kwadrat
square,kwadratowy
square,plac
stadium,stadion
staff,"personel, pracownicy"
stage,scena
stairs,schody
stamp,znaczek (pocztowy)
stand,stać
star,gwiazda
star,"gwiazda (wykonawca, aktor)"
stay,"zatrzymać się gdzieś, przebywać"
steak,stek
steal,kraść
still,"ciągle, nadal, jeszcze"
